Gene Symbol and Synonyms,UniProt Accession
BT_2518,Q8A4S9
BT_1560,Q8A7G4
BT_t10,-
BT_0122,Q8ABI8
BT_1153,Q8A8L4
BT_0712,Q8A9V3
BT_0331,Q8AAY1
BT_0460,Q8AAK4
BT_1475,Q8A7P9
BT_t68,-
BT_0458,Q8AAK6
BT_4630,Q89YV1
BT_0453,Q8AAL1
BT_t45,-
BT_1564,Q8A7G0
BT_1759,Q8A6W7
BT_0415,Q8AAP9
BT_2415,Q8A529
BT_1689,Q8A736
BT_2726,Q8A477
BT_1978,Q8A6A7
BT_4217,Q8A004
BT_1733,Q8A6Z2
BT_3487,Q8A221
BT_4530,Q89Z47
BT_3450,Q8A256
BT_0372,Q8AAU2
BT_0309,Q8AB03
BT_1836,Q8A6P1
BT_t62,-
BT_4680,Q89YQ1
BT_t27,-
BT_0914,Q8A9A1
BT_0555,Q8AAB0
BT_2711,Q8A492
BT_4681,Q89YQ0
BT_4253,Q89ZW8
BT_4050,Q8A0H1
BT_0494,Q8AAH1
BT_0741,Q8A9S4
BT_0346,Q8AAW6
BT_2430,Q8A517
BT_0184,Q8ABC6
BT_3644,Q8A1L7
BT_2168,Q8A5S0
BT_0455,Q8AAK9
BT_3719,Q8A1E7
BT_r11,-
BT_3875,Q8A0Z6
BT_3412,Q8A293
BT_0310,Q8AB02
BT_r13,-
BT_2359,Q8A583
BT_0162,Q8ABE8
BT_1967,Q8A6B7
BT_1342,Q8A832
BT_2838,Q8A3W6
BT_2728,Q8A475
BT_0674,Q8A9Z1
BT_0533,Q8AAD2
BT_0571,Q8AA94
BT_3178,Q8A2X7
BT_t13,-
BT_2725,Q8A478
BT_t12,-
BT_3126,Q8A329
BT_t46,-
BT_1871,Q8A6L0
BT_1341,Q8A833
BT_1449,Q8A7S5
BT_2206,Q8A5N2
BT_1691,Q8A734
BT_4101,Q8A0C0
BT_4207,Q8A014
BT_4203,Q8A018
BT_4395,Q89ZI2
BT_0556,Q8AAA9
BT_4651,Q89YT0
BT_3924,Q8A0U7
BT_3868,Q8A103
BT_0195,Q8ABB5
BT_1333,Q8A841
BT_1922,Q8A6G2
BT_1973,Q8A6B2
BT_2242,Q8A5J7
BT_0602,Q8AA63
BT_1226,Q8A8E1
BT_1220,Q8A8E7
BT_t19,-
BT_3320,Q8A2I5
BT_4592,Q89YY8
BT_3319,Q8A2I6
BT_2098,Q8A5Y8
BT_1081,Q8A8T6
BT_2733,Q8A470
BT_r09,-
BT_1324,Q8A850
BT_1677,Q8A748
BT_0488,Q8AAH7
BT_3873,Q8A0Z8
BT_3299,Q8A2K6
BT_4700,Q89YN1
BT_1301,Q8A873
BT_3529,Q8A1X9
BT_0251,Q8AB60
BT_2072,Q8A614
BT_0771,Q8A9P4
BT_0700,Q8A9W5
BT_0832,Q8A9I3
BT_t65,-
BT_3409,Q8A296
BT_3210,Q8A2U5
BT_1760,Q8A6W6
BT_1747,Q8A6X8
BT_2712,Q8A491
BT_3845,Q8A126
BT_0916,Q8A999
BT_1335,Q8A839
BT_0333,Q8AAX9
BT_0551,Q8AAB4
BT_2011,Q8A675
BT_2425,Q8A519
BT_0790,Q8A9M5
BT_3636,Q8A1M5
BT_0704,Q8A9W1
BT_2493,Q8A4V4
BT_0203,Q8ABA7
BT_4215,Q8A006
BT_0725,Q8A9U0
BT_t29,-
BT_t69,-
BT_t60,-
BT_1212,Q8A8F5
BT_r05,-
BT_4754,Q89YH8
BT_0531,Q8AAD4
BT_3978,Q8A0P3
BT_4683,Q89YP8
BT_3866,Q8A105
BT_4138,Q8A083
BT_4257,Q89ZW4
BT_0744,Q8A9S1
BT_2757,Q8A446
BT_2061,Q8A625
BT_3766,Q8A1A0
BT_1749,Q8A6X6
BT_2074,Q8A612
BT_3163,Q8A2Z2
BT_3395,Q8A2B0
BT_1380,Q8A7Z4
BT_1102,Q8A8R5
BT_3549,Q8A1V9
BT_2416,Q8A528
BT_4415,Q89ZG2
BT_4615,Q89YW6
BT_2002,Q8A684
BT_3731,Q8A1D5
BT_1450,Q8A7S4
BT_3917,Q8A0V4
BT_0009,Q8ABV1
BT_3945,Q8A0S6
BT_3600,Q8A1Q9
BT_2163,Q8A5S5
BT_4572,Q89Z05
BT_2801,Q8A403
BT_0307,Q8AB05
BT_1861,Q8A6L6
BT_1902,Q8A6I2
BT_1713,Q8A712
BT_t21,-
