KEGG Gene ID	Gene Symbol
mcc:711912	LOC711912
mcc:703881	GNAT1
mcc:703711	TMLHE
mcc:702504	CAMK2D
mcc:100315431	MIR129-2
mcc:711299	SHROOM1
mcc:709773	PPP3CA
mcc:716138	RIPK3
mcc:100426272	-
mcc:694357	CPEB1
mcc:696470	LOC696470
mcc:693645	LOC693645
mcc:708862	LOC708862
mcc:698840	GNGT2
mcc:712634	BRCA1
mcc:700136	HUWE1
mcc:705773	WNT2B
mcc:717837	JUNB
mcc:692341	LILRA2
mcc:717101	AVP
mcc:722198	ARHGEF1
mcc:700000	GRK6
mcc:721818	-
mcc:707398	LOC707398
mcc:717205	OR51S1
mcc:710730	SSX2IP
mcc:695748	RPS3
mcc:693544	TK2
mcc:698450	C1D
mcc:106993357	-
mcc:716919	CA4
mcc:696326	WNT9A
mcc:106995090	-
mcc:701344	NUDT9
mcc:713227	VAV2
mcc:699317	LOC699317
mcc:704683	IKBKB
mcc:723305	LOC723305
mcc:702044	HRH4
mcc:722078	ITPKC
mcc:694845	PROS1
mcc:699642	HDAC8
mcc:695788	XRCC3
mcc:711059	IL22RA2
mcc:706515	AMT
mcc:106999361	-
mcc:700591	AKT2
mcc:715816	SLC44A1
mcc:696808	LOC696808
mcc:574194	TUBA1A
mcc:710045	VDAC1
mcc:704486	CNGA2
mcc:710904	ANK1
mcc:704086	SCN1A
mcc:707640	ITCH
mcc:697648	LMO7
mcc:715314	PSMF1
mcc:717179	RYR2
mcc:698329	CD8A
mcc:697584	-
mcc:693999	POLI
mcc:719290	STRA13
mcc:712669	EXOSC6
mcc:715378	RHEB
mcc:713358	CHEK1
mcc:702798	RRAGD
mcc:703226	LSM6
mcc:706691	LOC706691
mcc:709237	DMGDH
mcc:715794	MAPK11
mcc:706132	KIF7
mcc:722007	LOC722007
mcc:716578	SNRPB
mcc:700926	HYI
mcc:721231	EFNA2
mcc:722261	RIMKLB
mcc:695407	LOC695407
mcc:722218	SLC3A2
mcc:706741	BPGM
mcc:708329	ERO1A
mcc:106992359	NMNAT3
mcc:693789	NCAM1
mcc:100425521	GSR
mcc:715762	PPARGC1A
mcc:700589	CCNE1
mcc:693648	PXMP2
mcc:708094	MGAT4A
mcc:698487	FGB
mcc:721914	LOC721914
mcc:717608	NUP98
mcc:711325	LOC711325
mcc:693293	RPSA
mcc:698473	DUSP7
mcc:698478	MMP2
mcc:711568	TFRC
mcc:703982	PFN3
mcc:702536	P2RX4
mcc:701969	PFKFB1
mcc:tRNA-Pro	-
mcc:701625	CTRL
mcc:100430818	-
mcc:694616	PPP2R3C
mcc:694121	KPNB1
mcc:719637	CLDN15
mcc:701283	DPM1
mcc:574140	SLC6A4
mcc:713837	NME5
mcc:708464	POLR2K
mcc:709647	PRKD3
mcc:100427024	ACTA2
mcc:695889	ICA1
mcc:715559	HBB
mcc:701242	ALDH1L2
mcc:704740	SLCO1C1
mcc:710506	LOC710506
mcc:705882	PHLPP1
mcc:717933	LOC717933
mcc:719214	RASAL3
mcc:707501	LOC707501
mcc:695393	DNAH7
mcc:700223	FLNC
mcc:721921	VCL
mcc:693818	SSR1
mcc:574360	TLR4
mcc:697947	PIWIL4
mcc:698274	LOC698274
mcc:707329	CXCR4
mcc:712628	NTN4
mcc:704551	HESX1
mcc:574130	TYK2
mcc:713699	SQRDL
mcc:715779	SLC44A4
mcc:711693	ANGPTL4
mcc:694770	GTF2B
mcc:719279	LOC719279
mcc:706491	NANP
mcc:713282	NUP50
mcc:701579	UCHL1
mcc:100315397	MIR155
mcc:718912	-
mcc:696794	ABCD1
mcc:716180	CERS2
mcc:696809	TAF8
