Gene Symbol and Synonyms,Gene Symbol
b3667,uhpC
b2199,ccmC
b4441,glmY
b0737,tolQ
b2507,guaA
b3332,gspK
b2746,ispF
b2615,nadK
b3517,gadA
b2143,cdd
b3025,qseB
b3311,rpsQ
b1123,potD
b3930,menA
b0574,cusB
b4289,fecC
b2279,nuoK
b1136,icd
b3624,waaZ
b0763,modA
b2415,ptsH
b0242,proB
b0694,kdpE
b3278,rrsD
b3633,waaA
b4124,dcuR
b0414,ribD
b0462,acrB
b3972,murB
b3405,ompR
b0971,serT
b3528,dctA
b3918,cdh
b3256,accC
b3940,metL
b0167,glnD
b3076,ebgA
b2091,gatD
b4134,pheU
b0638,cobC
b0573,cusF
b2563,acpS
b3540,dppF
b0772,ybhC
b3568,xylH
b2311,ubiX
b0584,fepA
b1633,nth
b3649,rpoZ
b1927,amyA
b3631,waaG
b1890,motA
b3301,rplO
b1388,paaA
b4506,ykgO
b2028,ugd
b1513,lsrA
b0526,cysS
b1714,pheS
b2312,purF
b2093,gatB
b1236,galU
b2198,ccmD
b1662,ribC
b3956,ppc
b1101,ptsG
b3139,agaC
b3635,mutM
b0678,nagB
b3951,pflD
b2867,xdhB
b0910,cmk
b0887,cydD
b0873,hcp
b3175,secG
b2780,pyrG
b1713,pheT
b0930,asnS
b3783,rho
b2283,nuoG
b1200,dhaK
b1879,flhA
b2500,purN
b0620,citB
b0509,glxR
b3670,ilvN
b3836,b3836; tatA
b1080,flgI
b2903,gcvP
b0072,leuC
b3140,agaD
b1241,adhE
b3779,gpp
b3609,secB
b3571,malS
b2261,menC
b0693,speF
b1749,xthA
b3018,plsC
b3137,kbaY
b1092,fabD
b3833,ubiE
b3327,gspF
b1861,ruvA
b2695,serV
b4194,ulaB
b3230,rpsI
b0784,moaD
b4355,tsr
b2094,gatA
b0096,lpxC
b0593,entC
b0222,gmhA
b0688,pgm
b3627,waaO
b0811,glnH
b3437,gntK
b1397,paaJ
b2817,amiC
b1387,paaZ
b3986,rplL
b1970,hiuH
b0198,metI
b1851,edd
b3201,lptB
b3314,rpsC
b3389,aroB
b1033,ghrA
b1232,purU
b3385,gph
b2554,glrR
b0729,sucD
b0180,fabZ
b3661,nlpA
b4084,alsK
b0655,gltI
b4407,thiS
b2165,psuG
b1865,nudB
b3342,rpsL
b3328,gspG
b1621,malX
b3958,argC
b0974,hyaC
b4239,treC
b1940,fliH
b3582,sgbU
b2388,glk
b1580,rspB
b0615,citF
b2751,cysN
b2997,hybO
b1924,fliD
b2889,idi
b3300,secY
b0181,lpxA
b1409,ynbB
b3344,tusC
b3464,ftsY
b3903,rhaA
b3731,atpC
b1587,ynfE
b4258,valS
b0831,gsiC
b3892,fdoI
b3275,rrlD
b3639,dfp
b2933,cmtA
b3757,gltU
b4369,leuP
b1651,gloA
b3470,tusA
b4013,metA
b2206,napA
b4211,qorB
b2254,arnC
b4322,uxuA
b2458,eutD
b3997,hemE
b4154,b4154; frdA
b1010,rutC
b0666,metU
b1118,lolE
b4200,rpsF
b0789,clsB
b1062,b1062; pyrC
b4471,tdcG
b0199,metN
b1444,patD
b0186,ldcC
b3333,gspL
b3642,pyrE
b3637,rpmB
b3431,glgX
b2179,yejE
b4202,rpsR
b1008,rutE
b1231,tyrT
b2914,rpiA
b4152,b4152; frdC
b2591,rrsG
b0031,b0031; dapB
b3162,deaD
b2564,pdxJ
b3396,mrcA
b1745,astB
b3829,metE
b2864,glyU
b1199,dhaL
b1611,fumC
b4477,dgoA
b2926,pgk
b0746,valZ
b0205,rrfH
b1876,argS
b3971,rrfB
b3599,mtlA
b2702,srlA
b1393,paaF
b1916,sdiA
b4039,ubiC
b4112,basS
b4035,malK
b3359,argD
b0399,phoB
b1977,asnT
b1070,flgN
b3193,mlaD
b2203,napB
b2606,rplS
b3955,eptC
b1539,ydfG
b0271,yagH
b3669,uhpA
b3591,selA
b2961,mutY
b3277,ileU
b2750,cysC
b4254,argI
b3058,folB
b0349,mhpC
b4101,phnG
b4087,alsA
b3403,pck
b4085,alsE
b0863,artI
b3560,glyQ
b2281,nuoI
b3206,npr
b2816,metV
b2025,hisF
b1226,narJ
b2221,atoD
b0120,speD
b0085,murE
b0335,prpE
b2022,hisB
b3451,ugpE
b3839,tatC
b1884,cheR
b2235,nrdB
b3580,lyxK
b0632,dacA
b2652,ileY
b1608,rstA
b1002,agp
b0014,dnaK
b0296,ykgM
b0907,serC
b3545,proK
b1581,rspA
b3476,nikA
b3117,tdcB
b0074,leuA
b3368,cysG
b3988,rpoC
b1302,puuE
b0750,nadA
b0929,ompF
b0918,kdsB
b3305,rplF
b0747,lysY
b3306,rpsH
b2465,tktB
b1992,cobS
b3126,garL
b4165,glyY
b3334,gspM
b3632,waaQ
b0775,bioB
b1309,ycjM
b1291,sapD
b2421,cysM
b0118,acnB
b0928,aspC
b1208,ispE
b0749,lysQ
b4025,pgi
b0888,trxB
b0062,araA
b1396,paaI
b2917,scpA
b4059,ssb
b0067,thiP
b4143,groL
b4368,leuV
b0996,torC
b0340,cynS
b0033,carB
b1723,pfkB
b4268,idnK
b4151,frdD; b4151
b3738,atpB
b0078,ilvH
b1710,btuE
b3813,uvrD
b0200,gmhB
b4240,treB
b0142,folK
b0857,potI
b2301,yfcF
b1390,paaC
b1253,yciA
b3759,rrfC
b0352,mhpE
b0896,dmsC
b4465,yggP
b3269,yhdX
b4058,uvrA
b0826,moeB
b2508,guaB
b2799,fucO
b1131,purB
b1294,sapA
b3853,alaT
b1297,puuA
b1222,narX
b0237,pepD
b2132,bglX
b1078,flgG
b2687,luxS
b2912,fau
b0783,moaC
b3384,trpS
b3321,rpsJ
b0536,argU
b2280,nuoJ
b0832,gsiD
b1910,cysT
b2661,gabD
b0757,galK
b2906,ubiI
b3223,nanE
b2764,cysJ
b2976,glcB
b3787,wecC
b0903,pflB
b0698,kdpA
b1717,rpmI
b0714,nei
b0529,folD
b0945,pyrD
b0347,mhpA
b1107,nagZ
b4179,rnr
b2066,udk; b2066
b2418,pdxK
b0583,entD
b0183,rnhB
b1734,chbF
b2716,ascB
b2901,bglA
b3721,bglB
