Gene Symbol and Synonyms,Gene Symbol
Rv3317,sdhD
Rv3336c,trpS
Rv2139,pyrD
Rv2995c,leuB
Rv2992c,gltS
Rv1551,plsB1
Rv0979A,rpmF
Rv1306,atpF
Rv1412,ribC
Rv1161,narG
Rv3580c,cysS1
Rvnt15,alaV
Rvnt20,leuV
Rv0233,nrdB
Rv1563c,treY
Rv2702,ppgK
Rv2351c,plcA
Rv3014c,ligA
Rv3154,nuoJ
Rv1617,pykA
Rv1406,fmt
Rv0866,moaE2
Rv3618,Rv3618
Rv2924c,fpg
Rv1326c,glgB
Rv2523c,acpS
Rv2967c,pca
Rv2066,cobIJ
Rv2445c,ndkA
Rv2241,aceE
Rv2465c,rpiB
Rv0651,rplJ
Rv1631,coaE
Rv0663,atsD
Rv1876,bfrA
Rv0809,purM
Rv3158,nuoN
Rv3341,metA
Rv0787A,Rv0787A
Rv2858c,aldC
Rv3109,moaA1
Rv2870c,dxr
Rv1872c,lldD2
Rv3156,nuoL
Rv1381,pyrC
Rv2754c,thyX
Rv1327c,glgE
Rv0317c,glpQ2
Rv2786c,ribF
Rvnt37,alaU
Rv2868c,gcpE
Rv2208,cobS
Rv3495c,lprN
Rv3756c,proZ
Rv0496,Rv0496
Rv1420,uvrC
Rv1448c,tal
Rv3758c,proV
Rv1905c,aao
Rv1131,prpC
Rv1127c,ppdK
Rv2471,aglA
Rv1440,secG
Rv1633,uvrB
Rv3701c,egtD
Rv0722,rpmD
Rv2679,echA15
Rv0594,mce2F
Rv2222c,glnA2
Rv3708c,asd
Rv0721,rpsE
Rv2343c,dnaG
Rv0186,bglS
Rv1859,modC
Rv0704,rplB
Rv2763c,dfrA
Rv1304,atpB
Rv0382c,pyrE
Rv2614c,thrS
Rv0591,mce2C
Rv3875,esxA
Rv2589,gabT
Rv2604c,snoP
Rv0718,rpsH
Rv0727c,fucA
Rv0936,pstA2
Rv2055c,rpsR2
Rv3526,kshA
Rv1570,bioD
Rv3601c,panD
Rv1011,ispE
Rv2378c,mbtG
Rv2587c,secD
Rv0973c,accA2
Rvnt10,lysT
Rv2436,rbsK
Rv0717,rpsN1
Rv3509c,ilvX
Rv1110,lytB2
Rv3252c,alkB
Rv2524c,fas
Rv3606c,folK
Rv0437c,psd
Rv3664c,dppC
Rv1437,pgk
Rv1745c,idi
Rv2501c,accA1
Rv1106c,Rv1106c
Rv1850,ureC
Rv0391,metZ
Rv2072c,cobL
Rv3039c,echA17
Rv3497c,mce4C
Rv0683,rpsG
Rv2361c,Rv2361c
Rv1554,frdC
Rvnt27,glyV
Rv2136c,Rv2136c
Rv0667,rpoB
Rv0171,mce1C
Rv1296,thrB
Rv3285,accA3
Rv0501,galE2
Rv1074c,fadA3
Rv3041c,Rv3041c
Rv2860c,glnA4
Rv0769,Rv0769
Rv1589,bioB
Rv2495c,bkdC
Rv1349,irtB
Rv1600,hisC1
Rv1940,ribA1
Rv2093c,tatC
Rv0843,Rv0843
Rv1202,dapE
Rv0905,echA6
Rv2765,Rv2765
Rv1338,murI
Rv2006,otsB1
Rv3667,acs
Rv2157c,murF
Rv0982,mprB
Rv3324c,moaC3
Rv1098c,fum
Rv0861c,ercc3
Rv0458,Rv0458
Rv2002,fabG3
Rv0509,hemA
Rv0989c,grcC2
Rv1638,uvrA
Rv2196,qcrB
Rv3044,fecB
Rv0702,rplD
Rv0075,Rv0075
Rv2056c,rpsN2
Rv0489,gpm1
Rv1305,atpE
Rv1383,carA
Rv0944,Rv0944
Rv2173,idsA2
Rv3566c,nat
Rv3149,nuoE
Rv2688c,Rv2688c
Rv3757c,proW
Rv1187,rocA
Rv2249c,glpD1
Rv3464,rmlB
Rv0155,pntAa
