Gene ID	Gene Symbol	
100304208	LOC100304208	
100384739	umc1472	
100273548	LOC100273548	
845215	rpl2	
100274348	LOC100274348	
100125657	AGPLS3	
103645947	LOC103645947	
100286356	LOC100286356	
541682	SMT	
103646212	LOC103646212	
100382178	LOC100382178	
103628713	LOC103628713	
100383596	LOC100383596	
103630144	LOC103630144	
542029	pox1	
103636541	LOC103636541	
100284849	LOC100284849	
100282882	LOC100282882	
100533139	LOC100533139	
100193260	LOC100193260	
100192936	LOC100192936	
103643791	LOC103643791	
100191802	LOC100191802	
100384080	LOC100384080	
103634871	LOC103634871	
100282855	LOC100282855	
103649600	LOC103649600	
100272317	IDP601	
100285076	LOC100285076	
100383080	umc1974	
103634415	LOC103634415	
100272371	idh2	
103641720	LOC103641720	
542126	psbs1	
100383296	LOC100383296	
100191217	TIDP3136	
100383793	LOC100383793	
103651086	LOC103651086	
778427	pco130567	
100216902	LOC100216902	
100381400	LOC100381400	
100282948	pco080711	
542464	ap1	
100193894	LOC100193894	
100281366	LOC100281366	
103641704	LOC103641704	
100285791	LOC100285791	
103653241	LOC103653241	
100274114	LOC100274114	
100284416	LOC100284416	
100284887	LOC100284887	
103630365	LOC103630365	
542393	pep4	
103639341	LOC103639341	
100381498	LOC100381498	
100193190	cl17080_1	
100284227	LOC100284227	
100280478	LOC100280478	
100280512	pco131239	
100286350	LOC100286350	
100384000	LOC100384000	
103641182	LOC103641182	
100280367	pco121700	
103653367	LOC103653367	
100279448	LOC100279448	
103651988	LOC103651988	
100279386	TIDP2701	
103641812	LOC103641812	
541622	LOC541622	
100283241	LOC100283241	
100216606	AY110374	
100217054	LOC100217054	
100284202	LOC100284202	
100193263	LOC100193263	
103635182	LOC103635182	
100272301	si486016f12b	
100273347	-	
100127524	cl846_1	
100383765	LOC100383765	
103628540	LOC103628540	
100280283	LOC100280283	
542707	CPN60II	
542586	HP1	
100192879	LOC100192879	
100284469	cl3795_1	
103633541	LOC103633541	
100286099	LOC100286099	
103651208	LOC103651208	
100273293	pco118301	
100285129	LOC100285129	
100272357	LOC100272357	
103631398	LOC103631398	
103626626	LOC103626626	
103637754	LOC103637754	
100193720	LOC100193720	
100282427	csu631	
542443	pco110021	
542279	PSBQ1	
100192745	LOC100192745	
100280780	LOC100280780	
100284212	pco073425a	
103645557	LOC103645557	
100282566	pco080036b	
100284094	LOC100284094	
542275	fdx1	
100281481	LOC100281481	
542747	eif3	
103649105	LOC103649105	
103647963	LOC103647963	
100193451	pco121523	
100285267	LOC100285267	
100272769	LOC100272769	
103637520	LOC103637520	
103629820	DGAT1-2	
541846	gst37	
100279429	cl23032_-2	
100281195	LOC100281195	
100272867	umc2246	
103654807	LOC103654807	
100304396	LOC100304396	
103647175	LOC103647175	
606463	AGA1	
100384825	LOC100384825	
100193563	LOC100193563	
100280446	CKX10	
100191715	LOC100191715	
100281369	LOC100281369	
103627040	LOC103627040	
103653449	LOC103653449	
103644863	LOC103644863	
100191367	IDP355	
100273074	LOC100273074	
101027193	LOC101027193	
100283844	umc2288	
100191806	pco069906	
541877	sxd1	
100282921	LOC100282921	
100280946	LOC100280946	
100284598	LOC100284598	
100284108	LOC100284108	
100282545	pco129777b	
100381519	LOC100381519	
100194079	LOC100194079	
103643010	LOC103643010	
100193273	LOC100193273	
542316	eno2	
100381820	LOC100381820	
103633092	LOC103633092	
100273026	LOC100273026	
103635870	LOC103635870	
100275459	IDP34	
100272422	uaz275	
103649582	LOC103649582	
100283003	LOC100283003	
732816	bth1	
100216639	LOC100216639	
103635488	LOC103635488	
100191489	TIDP3675	
103645399	LOC103645399	
100384769	LOC100384769	
100283765	pco067797	
103637461	LOC103637461	
100304359	LOC100304359	
100192863	LOC100192863	
103636631	LOC103636631	
542102	LOC542102	
100279870	IDP634	
100281136	LOC100281136	
103637734	LOC103637734	
100286157	si946089b08a	
100194284	pco104496	
100273086	LOC100273086	
100192461	LOC100192461	
103635415	LOC103635415	
103633583	LOC103633583	
103635349	LOC103635349	
100382372	LOC100382372	
100272984	pco087106a	
100216859	LOC100216859	
100273799	si687042f02	
100279373	cl10585_1b	
541785	pk4	
100284968	LOC100284968	
100282214	LOC100282214	
100284216	LOC100284216	
100274123	LOC100274123	
103640050	LOC103640050	
100272774	pco144644	
103635525	LOC103635525	
101027190	LOC101027190	
100274280	LOC100274280	
100191235	LOC100191235	
542315	sbe1	
100284438	cl9125_1	
542341	RPS8	
100272282	cl339_1a	
100381986	LOC100381986	
103644907	LOC103644907	
542641	pco066882(728)	
100217270	LOC100217270	
100191977	LOC100191977	
103634889	LOC103634889	
542567	aldh2	
100285558	pco148653	
103650820	LOC103650820	
100383898	LOC100383898	
100273366	LOC100273366	
542421	LOC542421	
100383375	LOC100383375	
103627418	LOC103627418	
100502461	LOC100502461	
100286342	LOC100286342	
100273676	LOC100273676	
100501407	LOC100501407	
100272455	LOC100272455	
100384174	pco111761(65)	
100192850	LOC100192850	
103630586	LOC103630586	
100280656	LOC100280656	
100193449	LOC100193449	
100279925	LOC100279925	
103654383	LOC103654383	
100274341	LOC100274341	
100275863	-	
100284280	IDP351	
103652149	LOC103652149	
103635001	LOC103635001	
103652724	LOC103652724	
100381342	LOC100381342	
542290	gpb1	
100501369	LOC100501369	
100382183	LOC100382183	
103640268	LOC103640268	
100280562	LOC100280562	
100283993	pco148511	
100193942	LOC100193942	
103638720	LOC103638720	
100285336	LOC100285336	
103638036	LOC103638036	
103653638	LOC103653638	
100282526	pco091065(59)	
103630165	LOC103630165	
103630277	LOC103630277	
103643777	LOC103643777	
100193723	LOC100193723	
100284316	pco068141(116)	
100282735	LOC100282735	
100280494	cl63836_1	
100193694	LOC100193694	
100194249	IDP808	
100282224	LOC100282224	
100282171	LOC100282171	
100282231	pco154542(637)	
103633803	LOC103633803	
103642167	LOC103642167	
100382232	gpm494	
542072	Agpsemzm	
542710	fgs1	
100284112	LOC100284112	
100285251	LOC100285251	
100193880	LOC100193880	
100273218	cl347_1	
103655313	LOC103655313	
100384215	LOC100384215	
100280286	LOC100280286	
541824	pco084367(373)	
100382228	LOC100382228	
100383610	LOC100383610	
100281760	LOC100281760	
100285949	TIDP2982	
100192073	PP2C14	
732835	HK1b2	
103648348	LOC103648348	
542476	apx2	
103631988	LOC103631988	
103649057	LOC103649057	
100191788	LOC100191788	
542714	thi1	
100283528	LOC100283528	
100274270	rpl19	
103644714	LOC103644714	
100272978	cl40696_1	
103628909	LOC103628909	
